NAME,JD,WD,AREA,FLAG,TAGONE,TAGONENAME,TAGTWO,TAGTWONAME,REGIONID
四季公寓,102.7438202,25.09293365,KunMing,0,12,住宿服务,1200,宾馆、酒店、青年旅社、公寓,133
昆明长岛酒店(江东好世界店),102.7438327,25.09308294,KunMing,0,12,住宿服务,1200,宾馆、酒店、青年旅社、公寓,133
水晶花园,102.7438202,25.09293365,KunMing,2,5,商务住宅,500,住宅小区,133
中行宿舍,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
铁路工程小区,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
艾诗林根,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
景江花园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
静园小区,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
尚都国际,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
金玉靓苑,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
天润金碧园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
凤凰城,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
江东四季园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
江东鸣翠园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
金庐园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
怡泰A区,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
鸣翠园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
金色家园紫竹园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
仿江南水乡,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
鑫世界,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
财大康园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
MOMA艺术小区,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
江东花园二期,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
上游水岸,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
天怡峰景花园,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
北辰小区茶花苑,102.7438202,25.09293365,KunMing,0,5,商务住宅,500,住宅小区,133
